OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_FRAME_SHAPE,By.CLASS_NAME,tab-frame-shape,1232,0,368,62
CONTENT_SHAPE_STYLE_RUNKO_OSAT,By.CSS_SELECTOR,.content-frame-shape>.style-header>h2,1240,80,352,28
OUTER_OPTIONS_CONTROL_CHECKBOX_CUSTOM,By.CSS_SELECTOR,.outer-frame-options>div.control-checkbox>label>label.custom-checkbox,1246,144,20,20
CLOSED_ENDS_CONTROL_CHECKBOX_CUSTOM,By.CSS_SELECTOR,.closed-ends>div.control-checkbox>label>label.custom-checkbox,1246,500,20,20
ID_SET_WARDROBE_DEPTH,By.ID,set-wardrobe-depth,1240,583,352,32
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
KATTOLEVY,By.XPATH,//BODY/SECTION[11]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/LABEL[1]/LABEL[1],1246,144,20,20
POHJALEVY,By.XPATH,//BODY/SECTION[11]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/LABEL[1]/LABEL[1],1246,181,20,20
POHJALEVY_JA_SOKKELI,By.XPATH,//BODY/SECTION[11]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/LABEL[1]/LABEL[1],1246,217,20,20
VAIN_PEITELEVYT,By.XPATH,//BODY/SECTION[11]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[4]/LABEL[1]/LABEL[1],1246,254,20,20
